partner,geo,year,value
AT,BE,2010,373.0
AT,BE,2011,337.0
AT,BE,2012,331.0
AT,BE,2013,320.0
AT,BE,2014,305.0
AT,BE,2015,346.0
AT,BE,2016,319.0
AT,BE,2017,273.0
AT,BE,2018,379.0
AT,BE,2019,373.0
AT,BE,2022,381.0
AT,BE,2023,456.0
AT,BG,2007,7.0
AT,BG,2012,119.0
AT,BG,2013,67.0
AT,BG,2014,110.0
AT,BG,2015,134.0
AT,BG,2016,155.0
AT,BG,2017,157.0
AT,BG,2018,199.0
AT,BG,2019,276.0
AT,BG,2020,615.0
AT,BG,2021,611.0
AT,BG,2022,514.0
AT,BG,2023,319.0
AT,CH,2011,3041.0
AT,CH,2012,3197.0
AT,CH,2013,3170.0
AT,CH,2014,3376.0
AT,CH,2015,3576.0
AT,CH,2016,3430.0
AT,CH,2017,3417.0
AT,CH,2018,3312.0
AT,CH,2019,3490.0
AT,CH,2020,3272.0
AT,CZ,2002,339.0
AT,CZ,2003,339.0
AT,CZ,2004,476.0
AT,CZ,2005,384.0
AT,CZ,2006,111.0
AT,CZ,2007,212.0
AT,CZ,2021,386.0
AT,CZ,2022,430.0
AT,CZ,2023,215.0
AT,DE,1998,14432.0
AT,DE,1999,15886.0
AT,DE,2000,15964.0
AT,DE,2001,15820.0
AT,DE,2002,14401.0
AT,DE,2004,13466.0
AT,DE,2005,13758.0
AT,DE,2006,14719.0
AT,DE,2007,15743.0
AT,DE,2008,16828.0
AT,DE,2014,12233.0
AT,DE,2015,13988.0
AT,DE,2016,14043.0
AT,DE,2017,13364.0
AT,DE,2018,12948.0
AT,DE,2019,12405.0
AT,DE,2020,13261.0
AT,DE,2021,12313.0
AT,DE,2022,12639.0
AT,DE,2023,12732.0
AT,DK,1998,312.0
AT,DK,1999,300.0
AT,DK,2000,308.0
AT,DK,2001,358.0
AT,DK,2002,321.0
AT,DK,2003,262.0
AT,DK,2004,273.0
AT,DK,2005,261.0
AT,DK,2006,344.0
AT,DK,2007,358.0
AT,DK,2008,208.0
AT,DK,2009,228.0
AT,DK,2010,241.0
AT,DK,2011,208.0
AT,DK,2012,216.0
AT,DK,2013,222.0
AT,DK,2014,244.0
AT,DK,2015,222.0
AT,DK,2016,269.0
AT,DK,2017,248.0
AT,DK,2018,290.0
AT,DK,2019,299.0
AT,DK,2020,321.0
AT,DK,2021,275.0
AT,EE,2004,3.0
AT,EE,2005,3.0
AT,EE,2006,10.0
AT,EE,2007,14.0
AT,EE,2008,18.0
AT,EE,2009,19.0
AT,EE,2010,17.0
AT,EE,2011,5.0
AT,EE,2012,7.0
AT,EE,2013,15.0
AT,EE,2014,12.0
AT,EE,2015,41.0
AT,EE,2016,55.0
AT,EE,2017,57.0
AT,EE,2018,91.0
AT,EE,2019,49.0
AT,EE,2020,62.0
AT,EE,2021,70.0
AT,EE,2022,66.0
AT,EE,2023,56.0
AT,ES,1998,345.0
AT,ES,1999,508.0
AT,ES,2000,452.0
AT,ES,2001,479.0
AT,ES,2002,540.0
AT,ES,2004,601.0
AT,ES,2005,817.0
AT,ES,2006,964.0
AT,ES,2007,1168.0
AT,FI,1998,38.0
AT,FI,1999,55.0
AT,FI,2000,52.0
AT,FI,2001,89.0
AT,FI,2002,101.0
AT,FI,2003,92.0
AT,FI,2004,98.0
AT,FI,2005,118.0
AT,FI,2006,108.0
AT,FI,2007,134.0
AT,FI,2008,120.0
AT,FI,2009,73.0
AT,FI,2010,85.0
AT,FI,2011,112.0
AT,FI,2012,111.0
AT,FI,2013,83.0
AT,FI,2014,100.0
AT,FI,2015,92.0
AT,FI,2016,126.0
AT,FI,2017,110.0
AT,FI,2018,126.0
AT,FI,2019,124.0
AT,FI,2020,130.0
AT,FI,2021,158.0
AT,FI,2022,174.0
AT,FI,2023,150.0
AT,FR,2013,977.0
AT,FR,2014,1070.0
AT,FR,2015,1016.0
AT,FR,2016,1214.0
AT,FR,2017,922.0
AT,FR,2018,1027.0
AT,FR,2019,876.0
AT,FR,2020,794.0
AT,FR,2021,1184.0
AT,FR,2022,1206.0
AT,FR,2023,900.0
AT,HR,1999,539.0
AT,HR,2001,421.0
AT,HR,2002,314.0
AT,HR,2003,286.0
AT,HR,2004,246.0
AT,HR,2006,305.0
AT,HR,2007,304.0
AT,HR,2008,336.0
AT,HR,2009,303.0
AT,HR,2010,215.0
AT,HR,2011,144.0
AT,HR,2012,208.0
AT,HR,2013,208.0
AT,HR,2014,255.0
AT,HR,2015,439.0
AT,HR,2016,533.0
AT,HR,2017,545.0
AT,HR,2018,501.0
AT,HR,2019,675.0
AT,HR,2020,605.0
AT,HR,2021,928.0
AT,HR,2022,859.0
AT,HR,2023,1060.0
AT,HU,2021,7224.0
AT,HU,2022,10934.0
AT,IE,2006,282.0
AT,IE,2007,257.0
AT,IE,2008,308.0
AT,IE,2009,225.0
AT,IE,2010,175.0
AT,IS,1998,14.0
AT,IS,1999,8.0
AT,IS,2000,16.0
AT,IS,2002,24.0
AT,IS,2007,46.0
AT,IS,2009,27.0
AT,IS,2010,18.0
AT,IS,2011,14.0
AT,IS,2012,12.0
AT,IS,2013,37.0
AT,IS,2014,23.0
AT,IS,2015,16.0
AT,IS,2016,36.0
AT,IS,2017,35.0
AT,IS,2018,25.0
AT,IS,2019,35.0
AT,IS,2020,20.0
AT,IS,2021,55.0
AT,IS,2022,37.0
AT,IS,2023,27.0
AT,IT,2008,696.0
AT,IT,2009,634.0
AT,IT,2010,647.0
AT,IT,2011,549.0
AT,IT,2012,603.0
AT,IT,2013,492.0
AT,IT,2014,555.0
AT,IT,2015,577.0
AT,IT,2016,700.0
AT,IT,2017,768.0
AT,IT,2018,895.0
AT,IT,2019,873.0
AT,IT,2020,1087.0
AT,IT,2021,1304.0
AT,IT,2022,1438.0
AT,IT,2023,1394.0
AT,LI,2008,100.0
AT,LI,2009,87.0
AT,LI,2010,75.0
AT,LI,2011,122.0
AT,LI,2012,95.0
AT,LI,2013,140.0
AT,LI,2014,94.0
AT,LI,2015,95.0
AT,LI,2016,90.0
AT,LI,2017,82.0
AT,LI,2018,112.0
AT,LI,2019,116.0
AT,LI,2020,119.0
AT,LI,2021,82.0
AT,LT,1998,0.0
AT,LT,1999,1.0
AT,LT,2000,1.0
AT,LT,2001,10.0
AT,LT,2002,7.0
AT,LT,2003,14.0
AT,LT,2004,29.0
AT,LT,2005,22.0
AT,LT,2006,18.0
AT,LT,2007,12.0
AT,LT,2008,26.0
AT,LT,2009,13.0
AT,LT,2010,12.0
AT,LT,2011,42.0
AT,LT,2012,50.0
AT,LT,2013,38.0
AT,LT,2014,55.0
AT,LT,2015,44.0
AT,LT,2016,30.0
AT,LT,2017,14.0
AT,LT,2018,51.0
AT,LT,2019,54.0
AT,LT,2020,64.0
AT,LT,2021,42.0
AT,LT,2022,41.0
AT,LT,2023,41.0
AT,LU,2003,7.0
AT,LU,2004,10.0
AT,LU,2005,7.0
AT,LU,2006,9.0
AT,LU,2007,6.0
AT,LV,1998,2.0
AT,LV,1999,0.0
AT,NL,1998,600.0
AT,NL,1999,537.0
AT,NL,2000,544.0
AT,NL,2001,614.0
AT,NL,2002,565.0
AT,NL,2003,510.0
AT,NL,2004,523.0
AT,NL,2005,517.0
AT,NL,2006,591.0
AT,NL,2007,650.0
AT,NL,2008,706.0
AT,NL,2009,562.0
AT,NL,2010,611.0
AT,NL,2011,614.0
AT,NL,2012,555.0
AT,NL,2013,605.0
AT,NL,2014,627.0
AT,NL,2015,640.0
AT,NL,2016,704.0
AT,NL,2017,863.0
AT,NL,2018,909.0
AT,NL,2019,963.0
AT,NL,2020,872.0
AT,NL,2021,1049.0
AT,NL,2022,1175.0
AT,NL,2023,1112.0
AT,NO,1998,128.0
AT,NO,1999,124.0
AT,NO,2000,90.0
AT,NO,2001,80.0
AT,NO,2002,84.0
AT,NO,2003,77.0
AT,NO,2004,112.0
AT,NO,2005,118.0
AT,NO,2006,137.0
AT,NO,2007,139.0
AT,NO,2008,154.0
AT,NO,2009,109.0
AT,NO,2010,185.0
AT,NO,2011,125.0
AT,NO,2012,152.0
AT,NO,2013,164.0
AT,NO,2014,172.0
AT,NO,2015,132.0
AT,NO,2016,130.0
AT,NO,2017,120.0
AT,NO,2018,126.0
AT,NO,2019,140.0
AT,NO,2020,158.0
AT,NO,2021,176.0
AT,NO,2022,195.0
AT,NO,2023,153.0
AT,OTHER,2000,0.0
AT,OTHER,2001,0.0
AT,OTHER,2002,6.0
AT,OTHER,2004,3.0
AT,OTHER,2005,31.0
AT,OTHER,2006,68.0
AT,OTHER,2007,66.0
AT,OTHER,2008,8.0
AT,OTHER,2009,10.0
AT,OTHER,2010,23.0
AT,OTHER,2011,32.0
AT,OTHER,2012,24.0
AT,OTHER,2020,30.0
AT,OTHER,2021,11.0
AT,PL,2001,157.0
AT,PL,2002,156.0
AT,PL,2003,140.0
AT,PL,2004,136.0
AT,PL,2005,162.0
AT,PL,2006,224.0
AT,PL,2007,264.0
AT,RO,2013,1500.0
AT,RO,2014,1977.0
AT,RO,2015,1850.0
AT,RO,2016,4600.0
AT,RO,2017,5000.0
AT,RO,2018,5100.0
AT,RO,2021,7201.0
AT,RO,2022,8577.0
AT,RO,2023,14985.0
AT,SE,1998,162.0
AT,SE,1999,184.0
AT,SE,2000,277.0
AT,SE,2001,227.0
AT,SE,2002,318.0
AT,SE,2003,333.0
AT,SE,2004,252.0
AT,SE,2005,253.0
AT,SE,2006,324.0
AT,SE,2007,361.0
AT,SE,2008,425.0
AT,SE,2009,388.0
AT,SE,2010,344.0
AT,SE,2011,307.0
AT,SE,2012,361.0
AT,SE,2013,339.0
AT,SE,2014,384.0
AT,SE,2015,327.0
AT,SE,2016,436.0
AT,SE,2017,358.0
AT,SE,2018,344.0
AT,SE,2019,336.0
AT,SE,2020,324.0
AT,SE,2021,333.0
AT,SE,2022,480.0
AT,SE,2023,427.0
AT,SI,1998,83.0
AT,SI,1999,91.0
AT,SI,2000,92.0
AT,SI,2001,64.0
AT,SI,2002,90.0
AT,SI,2003,55.0
AT,SI,2004,65.0
AT,SI,2005,92.0
AT,SI,2006,169.0
AT,SI,2007,127.0
AT,SI,2008,325.0
AT,SI,2009,387.0
AT,SI,2010,425.0
AT,SI,2011,395.0
AT,SI,2012,346.0
AT,SI,2013,319.0
AT,SI,2014,451.0
AT,SI,2015,503.0
AT,SI,2016,590.0
AT,SI,2017,650.0
AT,SI,2018,853.0
AT,SI,2019,710.0
AT,SI,2020,2139.0
AT,SI,2021,890.0
AT,SI,2022,876.0
AT,SI,2023,871.0
AT,SK,1998,39.0
AT,SK,1999,39.0
AT,SK,2000,37.0
AT,SK,2001,49.0
AT,SK,2002,64.0
AT,SK,2003,48.0
AT,SK,2004,193.0
AT,SK,2005,325.0
AT,SK,2006,317.0
AT,SK,2008,340.0
AT,SK,2009,313.0
AT,SK,2010,275.0
AT,SK,2011,190.0
AT,SK,2012,290.0
AT,SK,2013,250.0
AT,SK,2014,405.0
AT,SK,2015,527.0
AT,SK,2016,603.0
AT,SK,2017,630.0
AT,SK,2018,583.0
AT,SK,2019,640.0
AT,SK,2020,591.0
AT,SK,2021,574.0
AT,SK,2022,546.0
AT,SK,2023,516.0
AT,UK,1998,1428.0
AT,UK,1999,349.0
AT,UK,2000,3573.0
AT,UK,2001,1016.0
AT,UK,2002,225.0
AT,UK,2003,1289.0
AT,UK,2004,1684.0
AT,UK,2005,1279.0
BE,AT,1998,324.0
BE,AT,1999,238.0
BE,AT,2000,294.0
BE,AT,2001,267.0
BE,AT,2002,173.0
BE,AT,2003,254.0
BE,AT,2004,299.0
BE,AT,2005,296.0
BE,AT,2006,252.0
BE,AT,2007,250.0
BE,AT,2008,245.0
BE,AT,2011,261.0
BE,AT,2012,265.0
BE,AT,2014,307.0
BE,AT,2015,307.0
BE,AT,2016,309.0
BE,AT,2017,329.0
BE,AT,2018,350.0
BE,AT,2019,346.0
BE,AT,2020,339.0
BE,AT,2021,353.0
BE,AT,2022,362.0
BE,AT,2023,338.0
BE,BG,2007,10.0
BE,BG,2012,128.0
BE,BG,2013,66.0
BE,BG,2014,130.0
BE,BG,2015,191.0
BE,BG,2016,196.0
BE,BG,2017,316.0
BE,BG,2018,433.0
BE,BG,2019,539.0
BE,BG,2020,700.0
BE,BG,2021,818.0
BE,BG,2022,639.0
BE,BG,2023,633.0
BE,CH,2011,1255.0
BE,CH,2012,1234.0
BE,CH,2013,1685.0
BE,CH,2014,1492.0
BE,CH,2015,1501.0
BE,CH,2016,1482.0
BE,CH,2017,1482.0
BE,CH,2018,1503.0
BE,CH,2019,1364.0
BE,CH,2020,1380.0
BE,CZ,2002,80.0
BE,CZ,2003,80.0
BE,CZ,2004,100.0
BE,CZ,2005,48.0
BE,CZ,2006,28.0
BE,CZ,2007,78.0
BE,CZ,2021,117.0
BE,CZ,2022,151.0
BE,CZ,2023,102.0
BE,DE,1998,4587.0
BE,DE,1999,4675.0
BE,DE,2000,4583.0
BE,DE,2002,4439.0
BE,DE,2004,4349.0
BE,DE,2005,4267.0
BE,DE,2006,4115.0
BE,DE,2007,4198.0
BE,DE,2008,4428.0
BE,DE,2014,3840.0
BE,DE,2015,3839.0
BE,DE,2016,4071.0
BE,DE,2017,3879.0
BE,DE,2018,3644.0
BE,DE,2019,3761.0
BE,DE,2020,3572.0
BE,DE,2021,3780.0
BE,DE,2022,3704.0
BE,DE,2023,3719.0
BE,DK,1998,659.0
BE,DK,1999,620.0
BE,DK,2000,691.0
BE,DK,2001,602.0
BE,DK,2002,609.0
BE,DK,2003,587.0
BE,DK,2004,528.0
BE,DK,2005,498.0
BE,DK,2006,529.0
BE,DK,2007,503.0
BE,DK,2008,410.0
BE,DK,2009,334.0
BE,DK,2010,367.0
BE,DK,2011,334.0
BE,DK,2012,439.0
BE,DK,2013,365.0
BE,DK,2014,403.0
BE,DK,2015,409.0
BE,DK,2016,419.0
BE,DK,2017,512.0
BE,DK,2018,462.0
BE,DK,2019,456.0
BE,DK,2020,457.0
BE,DK,2021,522.0
BE,EE,2004,9.0
BE,EE,2005,12.0
BE,EE,2006,21.0
BE,EE,2007,37.0
BE,EE,2008,33.0
BE,EE,2009,32.0
BE,EE,2010,13.0
BE,EE,2011,14.0
BE,EE,2012,13.0
BE,EE,2013,26.0
BE,EE,2014,19.0
BE,EE,2015,83.0
BE,EE,2016,56.0
BE,EE,2017,66.0
BE,EE,2018,92.0
BE,EE,2019,92.0
BE,EE,2020,120.0
BE,EE,2021,147.0
BE,EE,2022,123.0
BE,EE,2023,116.0
BE,ES,1998,2062.0
BE,ES,1999,2775.0
BE,ES,2000,3061.0
BE,ES,2001,2838.0
BE,ES,2002,3141.0
BE,ES,2004,3154.0
BE,ES,2005,3420.0
BE,ES,2006,3391.0
BE,ES,2007,3658.0
BE,ES,2008,2722.0
BE,ES,2009,2557.0
BE,ES,2010,2800.0
BE,ES,2011,2987.0
BE,ES,2012,3288.0
BE,ES,2013,3573.0
BE,ES,2014,3665.0
BE,ES,2015,4047.0
BE,ES,2016,4511.0
BE,ES,2017,5358.0
BE,ES,2018,5495.0
BE,ES,2019,5605.0
BE,ES,2020,4667.0
BE,ES,2021,9865.0
BE,ES,2022,9023.0
BE,ES,2023,9364.0
BE,FI,1998,78.0
BE,FI,1999,143.0
BE,FI,2000,161.0
BE,FI,2001,170.0
BE,FI,2002,151.0
BE,FI,2003,184.0
BE,FI,2004,186.0
BE,FI,2005,189.0
BE,FI,2006,204.0
BE,FI,2007,235.0
BE,FI,2008,184.0
BE,FI,2009,212.0
BE,FI,2010,171.0
BE,FI,2011,171.0
BE,FI,2012,193.0
BE,FI,2013,198.0
BE,FI,2014,198.0
BE,FI,2015,191.0
BE,FI,2016,189.0
BE,FI,2017,152.0
BE,FI,2018,175.0
BE,FI,2019,193.0
BE,FI,2020,263.0
BE,FI,2021,267.0
BE,FI,2022,241.0
BE,FI,2023,242.0
BE,FR,2013,14899.0
BE,FR,2014,15604.0
BE,FR,2015,16189.0
BE,FR,2016,17293.0
BE,FR,2017,16304.0
BE,FR,2018,16510.0
BE,FR,2019,17040.0
BE,FR,2020,15178.0
BE,FR,2021,15702.0
BE,FR,2022,18940.0
BE,FR,2023,18701.0
BE,HR,1999,19.0
BE,HR,2001,14.0
BE,HR,2002,19.0
BE,HR,2003,9.0
BE,HR,2004,13.0
BE,HR,2006,19.0
BE,HR,2007,25.0
BE,HR,2008,24.0
BE,HR,2009,25.0
BE,HR,2010,23.0
BE,HR,2011,13.0
BE,HR,2012,11.0
BE,HR,2013,35.0
BE,HR,2014,31.0
BE,HR,2015,56.0
BE,HR,2016,62.0
BE,HR,2017,55.0
BE,HR,2018,48.0
BE,HR,2019,79.0
BE,HR,2020,62.0
BE,HR,2021,79.0
BE,HR,2022,96.0
BE,HR,2023,80.0
BE,HU,2021,454.0
BE,HU,2022,316.0
BE,IE,2006,611.0
BE,IE,2007,541.0
BE,IE,2008,612.0
BE,IE,2009,407.0
BE,IE,2010,388.0
BE,IS,1998,21.0
BE,IS,1999,23.0
BE,IS,2000,29.0
BE,IS,2001,28.0
BE,IS,2002,34.0
BE,IS,2007,24.0
BE,IS,2009,11.0
BE,IS,2010,11.0
BE,IS,2011,18.0
BE,IS,2012,26.0
BE,IS,2013,23.0
BE,IS,2014,29.0
BE,IS,2015,19.0
BE,IS,2016,29.0
BE,IS,2017,34.0
BE,IS,2018,37.0
BE,IS,2019,47.0
BE,IS,2020,25.0
BE,IS,2021,29.0
BE,IS,2022,30.0
BE,IS,2023,22.0
BE,IT,2008,1214.0
BE,IT,2009,1011.0
BE,IT,2010,1118.0
BE,IT,2011,1064.0
BE,IT,2012,1095.0
BE,IT,2013,1077.0
BE,IT,2014,1022.0
BE,IT,2015,1081.0
BE,IT,2016,1191.0
BE,IT,2017,1148.0
BE,IT,2018,1265.0
BE,IT,2019,1179.0
BE,IT,2020,1646.0
BE,IT,2021,1930.0
BE,IT,2022,1989.0
BE,IT,2023,1920.0
BE,LI,2008,0.0
BE,LI,2009,0.0
BE,LI,2010,3.0
BE,LI,2011,1.0
BE,LI,2012,1.0
BE,LI,2013,0.0
BE,LI,2014,4.0
BE,LI,2015,0.0
BE,LI,2016,1.0
BE,LI,2017,3.0
BE,LI,2018,1.0
BE,LI,2019,1.0
BE,LI,2020,0.0
BE,LI,2021,0.0
BE,LT,1998,0.0
BE,LT,1999,0.0
BE,LT,2000,2.0
BE,LT,2001,7.0
BE,LT,2002,17.0
BE,LT,2003,10.0
BE,LT,2004,26.0
BE,LT,2005,31.0
BE,LT,2006,47.0
BE,LT,2007,45.0
BE,LT,2008,46.0
BE,LT,2009,43.0
BE,LT,2010,50.0
BE,LT,2011,62.0
BE,LT,2012,90.0
BE,LT,2013,99.0
BE,LT,2014,147.0
BE,LT,2015,126.0
BE,LT,2016,101.0
BE,LT,2017,99.0
BE,LT,2018,100.0
BE,LT,2019,115.0
BE,LT,2020,122.0
BE,LT,2021,83.0
BE,LT,2022,104.0
BE,LT,2023,126.0
BE,LU,2003,700.0
BE,LU,2004,674.0
BE,LU,2005,681.0
BE,LU,2006,605.0
BE,LU,2007,649.0
BE,LV,1998,1.0
BE,LV,1999,4.0
BE,NL,1998,6386.0
BE,NL,1999,6022.0
BE,NL,2000,5755.0
BE,NL,2001,5599.0
BE,NL,2002,5357.0
BE,NL,2003,5348.0
BE,NL,2004,5303.0
BE,NL,2005,5584.0
BE,NL,2006,6149.0
BE,NL,2007,6881.0
BE,NL,2008,7874.0
BE,NL,2009,7222.0
BE,NL,2010,7202.0
BE,NL,2011,7685.0
BE,NL,2012,7982.0
BE,NL,2013,7793.0
BE,NL,2014,8060.0
BE,NL,2015,8045.0
BE,NL,2016,8658.0
BE,NL,2017,9027.0
BE,NL,2018,9032.0
BE,NL,2019,9246.0
BE,NL,2020,8935.0
BE,NL,2021,8504.0
BE,NL,2022,8062.0
BE,NL,2023,8580.0
BE,NO,1998,220.0
BE,NO,1999,257.0
BE,NO,2000,212.0
BE,NO,2001,169.0
BE,NO,2002,198.0
BE,NO,2003,186.0
BE,NO,2004,191.0
BE,NO,2005,213.0
BE,NO,2006,200.0
BE,NO,2007,194.0
BE,NO,2008,233.0
BE,NO,2009,212.0
BE,NO,2010,236.0
BE,NO,2011,293.0
BE,NO,2012,207.0
BE,NO,2013,238.0
BE,NO,2014,230.0
BE,NO,2015,254.0
BE,NO,2016,208.0
BE,NO,2017,173.0
BE,NO,2018,232.0
BE,NO,2019,224.0
BE,NO,2020,204.0
BE,NO,2021,275.0
BE,NO,2022,337.0
BE,NO,2023,264.0
BE,OTHER,2000,0.0
BE,OTHER,2001,0.0
BE,OTHER,2002,0.0
BE,OTHER,2004,4.0
BE,OTHER,2005,13.0
BE,OTHER,2006,25.0
BE,OTHER,2007,106.0
BE,OTHER,2008,0.0
BE,OTHER,2009,3.0
BE,OTHER,2010,5.0
BE,OTHER,2011,3.0
BE,OTHER,2012,6.0
BE,OTHER,2020,5.0
BE,OTHER,2021,7.0
BE,PL,2001,72.0
BE,PL,2002,61.0
BE,PL,2003,64.0
BE,PL,2004,70.0
BE,PL,2005,89.0
BE,PL,2006,106.0
BE,PL,2007,127.0
BE,RO,2013,1264.0
BE,RO,2014,2500.0
BE,RO,2015,2715.0
BE,RO,2016,3036.0
BE,RO,2017,3800.0
BE,RO,2018,3502.0
BE,RO,2021,5777.0
BE,RO,2022,5578.0
BE,RO,2023,12170.0
BE,SE,1998,368.0
BE,SE,1999,430.0
BE,SE,2000,390.0
BE,SE,2001,521.0
BE,SE,2002,387.0
BE,SE,2003,399.0
BE,SE,2004,395.0
BE,SE,2005,375.0
BE,SE,2006,429.0
BE,SE,2007,423.0
BE,SE,2008,513.0
BE,SE,2009,495.0
BE,SE,2010,472.0
BE,SE,2011,512.0
BE,SE,2012,517.0
BE,SE,2013,513.0
BE,SE,2014,535.0
BE,SE,2015,449.0
BE,SE,2016,495.0
BE,SE,2017,528.0
BE,SE,2018,496.0
BE,SE,2019,505.0
BE,SE,2020,442.0
BE,SE,2021,546.0
BE,SE,2022,618.0
BE,SE,2023,598.0
BE,SI,1998,6.0
BE,SI,1999,10.0
BE,SI,2000,12.0
BE,SI,2001,8.0
BE,SI,2002,13.0
BE,SI,2003,19.0
BE,SI,2004,8.0
BE,SI,2005,7.0
BE,SI,2006,23.0
BE,SI,2007,14.0
BE,SI,2008,76.0
BE,SI,2009,85.0
BE,SI,2010,85.0
BE,SI,2011,175.0
BE,SI,2012,84.0
BE,SI,2013,73.0
BE,SI,2014,62.0
BE,SI,2015,92.0
BE,SI,2016,87.0
BE,SI,2017,79.0
BE,SI,2018,105.0
BE,SI,2019,116.0
BE,SI,2020,320.0
BE,SI,2021,112.0
BE,SI,2022,120.0
BE,SI,2023,150.0
BE,SK,1998,0.0
BE,SK,1999,8.0
BE,SK,2000,1.0
BE,SK,2001,5.0
BE,SK,2002,6.0
BE,SK,2003,2.0
BE,SK,2004,16.0
BE,SK,2005,38.0
BE,SK,2006,24.0
BE,SK,2008,58.0
BE,SK,2009,75.0
BE,SK,2010,58.0
BE,SK,2011,60.0
BE,SK,2012,54.0
BE,SK,2013,64.0
BE,SK,2014,39.0
BE,SK,2015,54.0
BE,SK,2016,73.0
BE,SK,2017,43.0
BE,SK,2018,51.0
BE,SK,2019,32.0
BE,SK,2020,37.0
BE,SK,2021,41.0
BE,SK,2022,39.0
BE,SK,2023,34.0
BE,UK,1998,4274.0
BE,UK,1999,6595.0
BE,UK,2000,5044.0
BE,UK,2001,1170.0
BE,UK,2002,2263.0
BE,UK,2003,6897.0
BE,UK,2004,967.0
BE,UK,2005,1821.0
BG,AT,1998,695.0
BG,AT,1999,651.0
BG,AT,2000,732.0
BG,AT,2001,931.0
BG,AT,2002,1358.0
BG,AT,2003,1614.0
BG,AT,2004,1607.0
BG,AT,2005,1393.0
BG,AT,2006,1215.0
BG,AT,2007,1446.0
BG,AT,2008,1631.0
BG,AT,2011,2063.0
BG,AT,2012,2209.0
BG,AT,2014,3768.0
BG,AT,2015,3743.0
BG,AT,2016,3454.0
BG,AT,2017,3406.0
BG,AT,2018,3525.0
BG,AT,2019,3897.0
BG,AT,2020,3087.0
BG,AT,2021,3103.0
BG,AT,2022,3614.0
BG,AT,2023,3130.0
BG,BE,2010,3582.0
BG,BE,2011,3777.0
BG,BE,2012,3969.0
BG,BE,2013,3385.0
BG,BE,2014,4215.0
BG,BE,2015,3750.0
BG,BE,2016,3428.0
BG,BE,2017,3663.0
BG,BE,2018,3800.0
BG,BE,2019,4787.0
BG,BE,2022,4364.0
BG,BE,2023,3454.0
BG,CH,2011,472.0
BG,CH,2012,573.0
BG,CH,2013,600.0
BG,CH,2014,531.0
BG,CH,2015,534.0
BG,CH,2016,1084.0
BG,CH,2017,889.0
BG,CH,2018,587.0
BG,CH,2019,962.0
BG,CH,2020,1158.0
BG,CZ,2002,729.0
BG,CZ,2003,646.0
BG,CZ,2004,662.0
BG,CZ,2005,844.0
BG,CZ,2006,821.0
BG,CZ,2007,1108.0
BG,CZ,2021,989.0
BG,CZ,2022,950.0
BG,CZ,2023,967.0
BG,DE,1998,5336.0
BG,DE,1999,8199.0
BG,DE,2000,10461.0
BG,DE,2002,13230.0
BG,DE,2004,11584.0
BG,DE,2005,9022.0
BG,DE,2006,7655.0
BG,DE,2007,20702.0
BG,DE,2008,23834.0
BG,DE,2014,39734.0
BG,DE,2015,46367.0
BG,DE,2016,43552.0
BG,DE,2017,40029.0
BG,DE,2018,37777.0
BG,DE,2019,37927.0
BG,DE,2020,36991.0
BG,DE,2021,35521.0
BG,DE,2022,34140.0
BG,DE,2023,28231.0
BG,DK,1998,84.0
BG,DK,1999,107.0
BG,DK,2000,129.0
BG,DK,2001,129.0
BG,DK,2002,145.0
BG,DK,2003,130.0
BG,DK,2004,138.0
BG,DK,2005,115.0
BG,DK,2006,103.0
BG,DK,2007,315.0
BG,DK,2008,698.0
BG,DK,2009,852.0
BG,DK,2010,932.0
BG,DK,2011,978.0
BG,DK,2012,1163.0
BG,DK,2013,1354.0
BG,DK,2014,1399.0
BG,DK,2015,1366.0
BG,DK,2016,1321.0
BG,DK,2017,1259.0
BG,DK,2018,1131.0
BG,DK,2019,1178.0
BG,DK,2020,1084.0
BG,DK,2021,1537.0
BG,EE,2004,0.0
BG,EE,2005,1.0
BG,EE,2006,2.0
BG,EE,2007,16.0
BG,EE,2008,12.0
BG,EE,2009,8.0
BG,EE,2010,13.0
BG,EE,2011,7.0
BG,EE,2012,6.0
BG,EE,2013,22.0
BG,EE,2014,20.0
BG,EE,2015,46.0
BG,EE,2016,75.0
BG,EE,2017,76.0
BG,EE,2018,61.0
BG,EE,2019,34.0
BG,EE,2020,47.0
BG,EE,2021,40.0
BG,EE,2022,45.0
BG,EE,2023,27.0
BG,ES,1998,263.0
BG,ES,1999,701.0
BG,ES,2000,6607.0
BG,ES,2001,11865.0
BG,ES,2002,16078.0
BG,ES,2004,18065.0
BG,ES,2005,15520.0
BG,ES,2006,17709.0
BG,ES,2007,26967.0
BG,ES,2008,10719.0
BG,ES,2009,7690.0
BG,ES,2010,8395.0
BG,ES,2011,9933.0
BG,ES,2012,6273.0
BG,ES,2013,4981.0
BG,ES,2014,4689.0
BG,ES,2015,4915.0
BG,ES,2016,5297.0
BG,ES,2017,5942.0
BG,ES,2018,5173.0
BG,ES,2019,5392.0
BG,ES,2020,3274.0
BG,ES,2021,8434.0
BG,ES,2022,8333.0
BG,ES,2023,8159.0
BG,FI,1998,22.0
BG,FI,1999,24.0
BG,FI,2000,25.0
BG,FI,2001,39.0
BG,FI,2002,46.0
BG,FI,2003,27.0
BG,FI,2004,47.0
BG,FI,2005,38.0
BG,FI,2006,42.0
BG,FI,2007,127.0
BG,FI,2008,161.0
